
---------- Begin Simulation Statistics ----------
final_tick                               481776938400                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 352089                       # Simulator instruction rate (inst/s)
host_mem_usage                               16979340                       # Number of bytes of host memory used
host_op_rate                                   364567                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  5250.56                       # Real time elapsed on the host
host_tick_rate                               91757174                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1848664553                       # Number of instructions simulated
sim_ops                                    1914181305                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.481777                       # Number of seconds simulated
sim_ticks                                481776938400                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 666633033                       # number of cc regfile reads
system.cpu.cc_regfile_writes                667845674                       # number of cc regfile writes
system.cpu.committedInsts                  1848664553                       # Number of Instructions Simulated
system.cpu.committedOps                    1914181305                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.651520                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.651520                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                          250367                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              4821093                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                268302663                       # Number of branches executed
system.cpu.iew.exec_nop                       2736578                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.737039                       # Inst execution rate
system.cpu.iew.exec_refs                    986485647                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  207450103                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                95143615                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             835559754                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1498                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            239829471                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          2293624381                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             779035544                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           9276378                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            2092163635                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                  40839                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 40553                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                4568481                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                146349                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents         144359                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1907810                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        2913283                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                2256647191                       # num instructions consuming a value
system.cpu.iew.wb_count                    2072492229                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.700182                       # average fanout of values written-back
system.cpu.iew.wb_producers                1580063227                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.720707                       # insts written-back per cycle
system.cpu.iew.wb_sent                     2075366967                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               2349166648                       # number of integer regfile reads
system.cpu.int_regfile_writes              1637093931                       # number of integer regfile writes
system.cpu.ipc                               1.534872                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.534872                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               348      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu            1083703069     51.57%     51.57% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult             22254022      1.06%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  2340      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                9374      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                8277      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt               24241      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult              22405      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                 122      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc              32750      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  249      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                 1603      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  431      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 8409      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 401      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     52.63% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     52.63% # Type of FU issued
