
---------- Begin Simulation Statistics ----------
final_tick                               443445743600                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 354071                       # Simulator instruction rate (inst/s)
host_mem_usage                               16980368                       # Number of bytes of host memory used
host_op_rate                                   366619                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                  5221.17                       # Real time elapsed on the host
host_tick_rate                               84932174                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                  1848666448                       # Number of instructions simulated
sim_ops                                    1914183249                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.443446                       # Number of seconds simulated
sim_ticks                                443445743600                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 664814352                       # number of cc regfile reads
system.cpu.cc_regfile_writes                666171533                       # number of cc regfile writes
system.cpu.committedInsts                  1848666448                       # Number of Instructions Simulated
system.cpu.committedOps                    1914183249                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.599683                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.599683                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           64719                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts              4807785                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                267609579                       # Number of branches executed
system.cpu.iew.exec_nop                       2733981                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.879440                       # Inst execution rate
system.cpu.iew.exec_refs                    980831526                       # number of memory reference insts executed
system.cpu.iew.exec_stores                  206785787                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                92433749                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts             837801075                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts               1920                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts            240221604                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts          2298622901                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts             774045739                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts           9413469                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts            2083574339                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                   7549                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                 34932                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                4488124                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                 46114                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents         118275                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect      1894483                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect        2913302                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                2251818678                       # num instructions consuming a value
system.cpu.iew.wb_count                    2066495061                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.700142                       # average fanout of values written-back
system.cpu.iew.wb_producers                1576591966                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.864034                       # insts written-back per cycle
system.cpu.iew.wb_sent                     2069409087                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads               2339712991                       # number of integer regfile reads
system.cpu.int_regfile_writes              1632421443                       # number of integer regfile writes
system.cpu.ipc                               1.667547                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.667547                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass               190      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu            1080764568     51.64%     51.64% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult             22228209      1.06%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                  2370      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                9421      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                8252      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt               24249      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult              22405      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                 126      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc              32874      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  6      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                  249      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                 1599      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                  415      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                 8426      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                 367      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     52.70% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     52.70% # Type of FU issued
